user_id,question_id,question,theme
u-TurAhR1TGf-SuNoTx6Axp,q-WMrFQwLC7W-kGKCHVtRUn,How can we improve walk/bike/transit for neighborhoods not served by the main T system?,Access
u-tMHATa3Jxu-Mo8vHtWvkj,q-47WYPACFUH-8WbNUAzY7s,Will there be GPS tracking of the green line?,Innovation-Technology
u-0DWTgOB158-NYBTTZI4G4,q-lVB1lzoYwN-eO8yQbzDkq,Will it be more comfortable sitting down?,Experiential Quality
u-JPhmwChxPB-4VtDmvvV1D,q-bWaGDwGfyV-xy8DtiJmcR,What are they going to do about excessive traffic congestion?,Reliability
u-zPjVwg1Ooy-QOKZKle1r7,q-NCIyfCgKeN-pL1jtaWq8E,"It is impossible to get to the Longwood Area without multiple transfers.  Will the City endorse and push for a center median transit way along Melnea Cass Boulevard and a transit tunnel for Longwood?  There need to be much better crosstown travel efforts.    Also the turning radius at Tremont and Ruggles makes it very difficult for buses to take a right turn onto Ruggles.  As a growing bus hub, does this make any sense?  The city should change the geometry of this.   All for bike lanes but not when travel lanes are taken off the few bridges that cross between Boston and Cambridge.  ",Access
u-XVPQx9Iem9-Jyok91wgNz,q-dkPcwhk0Xb-PTWh5oFKf8,Will the transportation system be better in the future? What about traffic?,Experiential Quality
u-OzR0E77PuP-qXySJwlSec,q-8ZV8jwFhiX-khuXrx78Zl,Is the night owl service going to come back?,Reliability
u-mBu2xZgVbb-UbrMxyMfkY,q-LLaoBMcsZx-Oj4roXaUmP,What if public transportation was free?,Affordability
u-VmK7OlrAKc-oyharyCMsu,q-1mNk9UF2ax-W072YbOBF6,Can we reduce pedestrian wait times at crosswalks during times of extreme temperature?,Governance and Decision-Making
u-LhRsztJKCX-1OIy822W59,q-r7jDtKQsL6-JPJnk3nG3f,What if our government had a historic response to a historic amount of snowfall?,Experiential Quality
u-BGeHr6PrU1-s2lapX5WMY,q-6DW5dURdLc-aCxN1x3guV,How do equitable public transportation choices really make us OneBoston?,Equity
u-D268hXP3Ep-fsBWoE9GMI,q-taZze9CKYo-gwPQR3fDjp,Is it possible that Boston could create more zones reserved for pedestrians and cyclists? And more ways to discourage residents from driving everywhere?,Health
u-OkQcJN2GAx-FpO6fpxEuv,q-oFqzX7tswt-l1y0EVI7np,When are we going to invest in high speed rail infrastructure and low emission buses and trains?,Sustainability-Climate
u-t84wDGViIh-cVWu8DdDRD,q-XxXVjCdq84-PyqG59CeD7,When are you going to clear the bike paths?,Experiential Quality
u-ABH0LGCbG7-PSAXRqXeJ0,q-h8B5UoC23Q-cae3mokyR5,can buses be more colorful?,Experiential Quality
u-vACLrBRJeC-SCKmomh6ze,q-ySPa6VwLSS-OG2G7mnMd0,Why does the price continue to increase and transportation not get any better?,Experiential Quality
u-i19Z9qYEIH-puxQmLyz2E,q-eL96xvhIez-pmT9YlWLGU,"Why can't people with kids be assisted by volunteers or paid servers?  It does not take much to create a social app that shows volunteers, who have raised hands, at each station during specific time.",Innovation-Technology
u-cXVfdXdm5C-tRaNRENQC9,q-9Y56S0RABd-YRGhqAa0ee,When will the MBTA place seat belts or other safety equipment on public transportation?,Safety
u-OsWQLMLeFu-YUdYwwQlxI,q-npjVe98k5h-7buU4PyFcn,How will the city secure safe pedestrian travel on all sidewalks within the city during all seasons of the year?,Safety
u-3bwhWM1X7z-4WJ9pHj6tM,q-CUZLIcPcBx-dVcTbSOYjj,How will the City of Boston work with the MBTA to help move buses through the streets more efficiently?,Reliability
u-bBFmc9tfWz-BDcRCop7XO,q-C4FXNiaSmm-dF1586YiHZ,How come there are no seven day passes in the summer?,Affordability
u-s9yK1tIZWI-pkdRxGP4jd,q-fi90DxYR0J-muXNoLIwxh,"Transportation should be safer and have more opportunities, and should commute to more places.  ",Access
u-dZ609cjCt7-nGznHkKx0c,q-472hliQSBs-lHr8hpzDQM,"What's the evacuation plan for emergency travel especially on roads that can't handle the outflow like the I-90, Route 9, Route 1,  and I-93?",Safety
u-Pcnm1coXmt-4wLeAclU3W,q-syFwgxxGJy-I4Gxx3gLUS,@GoBoston2030 How will the City guarantee that transportation development does not contribute to gentrification & displacement? #right2remain #Rmbta,Equity
u-D1rDMRJZ4J-N3pEa0Gxze,q-wTmj2Mach5-uESWnwFDWv,"Why aren't the Emerald Necklace parks connected to each other so pedestrians, runners, and bikers can enjoy the whole circuit uninterrupted?",Access
u-rzuIDOBsZF-puyIb0zcFF,q-FjiF8kScAg-Mu3uRydFAE,When is the #15 bus going to run all day?,Reliability
u-U1gLJe08vM-7VE0WAxqHH,q-roCntXYEe2-bcf2GgNaqd,Why aren't there more of the 33 bus that runs to Mattapan when many students take the 33 bus?,Access
u-N35MrZvl0d-2ziBBd8BUw,q-T1DYyv6uGU-m83oZ2FmXe,Could we have car free streets that were bike and pedestrian only?,Access
u-76NtTqptb2-5Pt73HfUZH,q-4QMTXBRg4x-FMCWMf5W2u,When are we going to get rid of the cars on the road?,Sustainability-Climate
u-Yshez0p1MF-4WBUeZ3d81,q-fs8eabJE0L-aeE18C1VXq,Can I continue to live car-free as I get older?,Sustainability-Climate
u-cjtcfjJQwN-A74VTiomCJ,q-rNAgN3tnPI-Eign54c43J,How come during the storms or when it starts snowing there seems like less buses run,Reliability
u-nTbbtLlnzm-paXiNP97wS,q-bmzGKtBFGY-F2TLEMSwMv,Can someone please finally fix the 70/70A debacle?,Access
u-5bC0SOxUZ3-7RyCo9IU3y,q-D7leRSSJEd-LOT0cvjO3T,Can we build more and better subways? I had an delay on the red line for an hour yesterday.,Access
u-lhmDN21xGy-d9ZwT1ZrPA,q-KaGareCbpc-0JZdgNswjc,When the weather is rainy why do I have to stand in the rain to wait for the bus?,Experiential Quality
u-xGg3COyL3G-bdebx7gxf9,q-f8z8OmDSOa-XEfxf3oJZ9,Will the city utilize waterways to move us around from place to place?,Access
u-BmDd4oqT47-OosPprCwH9,q-X517yeGSPZ-wBc8tGJemy,Why is the bus never on schedule and always late?,Reliability
u-NaO7p83dLi-akKYV9CNMx,q-4HEkxbjO2t-UG7cClXPOu,What's the plan to work on this sooner rather than later?  This season has been an embarrassment,Reliability
u-q9SXgM9Fdv-VFHPz3yDNx,q-TMXIkpNBUk-Ctgc4v3AVP,How can you make it easier and faster to get from Davis and Porter? And from Hud to Longwood?,Reliability
u-kyFP7vpBAU-OQvbyakkWJ,q-5chEogCs5c-1myWHAufo5,Are we going to get more bike lanes?,Access
u-G2sA5DOEET-AOiZCGSl91,q-Evzxgk28yL-NYvnvXswzr,"Why can't we lower Boston's default speed limit to 25mph?  Crash rates plummet at 25mph, and people hit by slower moving cars are far less injured/far more likely to survive.   A default speed limit of 25mph is good for everybody, including drivers. ",Safety
u-31xVanhe6L-6a0muJCKiL,q-Iacic5ekxC-QjpMCNZIt4,Can there be more taxes and bigger ones for families?,Governance and Decision-Making
u-9V2WzZYYfQ-HrmZYymZfl,q-MOBC4Fw5t9-j4fvkwbRVU,Will there be massage chairs on buses?,Experiential Quality
u-StZ18k6dLI-zklF6IReKh,q-onwOigoqzO-VscKiWS3W9,"How can we expect real change when the Mayor demotes the transportation department to the level of public works and puts the former parking clerk in charge? Fixing potholes and parking meters, is important, but where is the vision for transportation going to come from?",Governance and Decision-Making
u-tZmVa8JosX-ev10yO8Hlb,q-RwGrYTZF3b-phongA0vhY,Will there be less ownership and more shared transportation models like Hubway and Zipcar?,Affordability
u-01Eif2ptGJ-TR9Mh2wEcz,q-JazhvliGM4-6EsyASY3JY,"What if buses avoided 'stacking' by allowing people to consolidate into a single bus at the next stop, so that the stacked bus can wait a few minutes at that stop, and then the people who miss the stacked buses won't be stuck waiting 20 or 30 minutes for the next bus?",Reliability
u-0RpWBcNpqO-4Io9lBxgVs,q-nivcbiCtlF-DXEjAIeNlg,Can we have a majority elevated trains powered by electricity?,Sustainability-Climate
u-0xWseiY2tH-Z10NtSlmAd,q-EORlUvtr9e-jnNDXdiHmX,"What role does Bus Rapid Transit play in Boston's transportation future? Does it have the potential replace the #1, #66 and other heavy bus routes?",Access
u-zU7XrfrvMt-ZGTNmMYHzh,q-yGqWkj6LSD-PGWNf0naTQ,Try to fix the inside of the buses by providing something to hang onto to avoid falling.,Experiential Quality
u-7tZ24IS5v7-r4EOS0O78j,q-N6IWdAXnqN-kKy0KDcK7x,Why aren't the bike paths bigger?,Experiential Quality
u-tf5n3OHV14-rIYWUtBR4k,q-8NfFXE9ZFP-EZggVWTdhn,"What?s the fastest, cheapest way to get from one part of Boston to another part?  What's the most convenient way?",Affordability
u-je6zP8wFJT-QMsJYl6T8D,q-31g1OHjGci-dkWZ5Rstkq,Will they ever make the T and buses 24 hours a day?,Reliability
u-5su3jkvo2L-5hNN8STtWU,q-ABMy4Emik8-cAdOJqWY7C,What will the high speed chase of the future look like?,Governance and Decision-Making
u-7PTHhwDm4V-zDJzdzR6pO,q-vp2vRE2Pec-RS9r7MkWmm,Will there be more space and safety without wasting a lot of gas?,Sustainability-Climate
u-kYTCy2Ryka-pN9dRjH5PW,q-PbMDHMbVUl-SOPaxJaLb8,Will the color of the buses be changed?,Experiential Quality
u-554w7V1w1t-PbUefEMtIg,q-0KpltHVc8K-NpzvqEFkN8,Why are cyclists not required to have license plates and be accountable for traffic violations?  Most of them (99%!) do not abide by the rules of the road yet motorists are expected to share the city streets with them.,Safety
u-8AR3KlbFfy-9q4uojhoWK,q-eJKd6jRNSl-5kPHc9Bw3c,How can we plan so that we don't have to depend on cars to get around?,Sustainability-Climate
u-UdxWwiwab3-jci1suqQWf,q-aceoVQIwFr-ijl3J8YHoC,"Can we connect the outer ""rings"" to the T so we don't have to go into Park St.?",Access
u-ulxpzkNduA-K0zOHOlmlz,q-qwzVN1uvkf-aAvgVAMEnv,Could Boston have a free bus/transportation system that circulates to important places throughout the City (like in Baltimore)?,Affordability
u-USd14jgg47-EBzd2tCeZR,q-bHJ9xViPgD-xPbh4b7FUT,Will we have more electric cars?,Innovation-Technology
u-HJi6J0ihUP-RdWhR08u7r,q-gX78TksXcW-wFgBCnoVRZ,How will the city help facilitate the use of car sharing and autonomous driving vehicles?,Innovation-Technology
u-cxJPiCzAlU-LqDy4uqWJG,q-WHGwleJsMb-2imM4IsFjX,I believe if the transportation money or bus fair was alote cheaper people would not buy alote of vehicles and it be better because less gasoline money would be spent. So will the city transportation dept. advocate for that?,Affordability
u-NV1zMLnU6B-qsHgBNkQAY,q-pc087y7lwl-wlLTRh8nGN,How can we safely bike with children in the city?,Safety
u-A0mm5UJyXu-BpZLw4dGyI,q-KF4t97UTac-fZVglvrVw5,Is the T going to be more efficient and faster in the future?,Reliability
u-VRNBF4jDYB-lzcbBD7rao,q-xMi9r44JFL-jRmhNC6A2T,Will Boston transportation be free?,Affordability
u-AxX5k9hB62-k8yrw1hrZ4,q-5UwE2hIoR6-Jon7PeyTrW,What if I could meet up with my friends to ride transit together?,Experiential Quality
u-CRN8FEzKor-5x26xmsPy3,q-ZSKV8PxI9Q-vd7xgHDXwB,What kind of transportation can we use that is accessible to everyone?,Access
u-JYUebVEppS-icgcfXzOd7,q-qrtU0JNs0Q-IDFEzjKuRv,"How will Boston transportation systems handle 70,000 more people?",Resiliency
u-YxYM7wd8R9-XM2lnT4cad,q-swVH7wrgo2-8qAnnbVOqj,Why is there no light rail system in Dudley?,Equity
u-eoFcj6VfLM-vqo5djqDx2,q-1fAr5EPYFx-NSgGlEynFB,Can kids get free passes?,Affordability
u-FqjaJF3T1e-jbXgNipNTp,q-vkuaPnqVru-8yXnxiFocs,Are MBTA prices going to keep rising?,Affordability
u-xGg3COyL3G-bdebx7gxf9,q-RbVXGJrn6Z-eGZvnoVdBF,Why don't they get more seats in the buses?,Experiential Quality
u-ABH0LGCbG7-PSAXRqXeJ0,q-ImP2v90oWD-9GOYG2WnK1,what if the T did not have to share the roads with cars and other vehicles?,Reliability
u-6v2lvKWjCV-0AyS1py0I2,q-OaGRJsRv5w-v8zIVJygf3,Why is the driver or train operator so desperate to move that they can't give a hand to help for one minute?,Experiential Quality
u-J604K0Ctci-fa4sBOhhlL,q-OxBFVD0WhZ-pW0YBLJvLm,How do we make transportation accessible to everyone?,Access
u-m9GQOgoiLK-N1gyp4ktn6,q-5CTxggv4S8-el1YD9kKQG,Can the MBTA wait until senior citizens are seated before taking off?,Experiential Quality
u-xaBeDyoHEy-RKhJVKXuMV,q-L6Y8glNCgc-SkF4l5YflK,"Why not privatize the MBTA?  If not that, train the current employees to be customer focused.",Safety
u-hwEv3Ta1Y1-Zhp06fUopQ,q-UrqDjoCvcQ-zVvvveEXLT,Will there be more bus service?  More efficient service?,Access
u-FwaNcpFhOf-yFOKcdk26t,q-Wt23Sq3o7T-GMVWSogXhm,"Why don't we prioritize the most vulnerable among us in our transit? This means wheelchairs first, pedestrians next, bikes/skating, public transit, then cars LAST.",Equity
u-3Rm2qRIAqB-VZHJcCZN9u,q-20UqqAKj6I-oUgiFWueIl,Will the MBTA run efficiently?,Reliability
u-QUwBxOBPDf-g5gJ6Xqrur,q-fURCY1fsSg-ueJ5zfbvNI,Will mbta be able to get all around Ma in the future?,Access
u-LmMHUaqskA-6nMQSqYJhv,q-t9x2d5B1Uc-QiMS2iezXy,What could we do to connect lower income neighborhoods to cycle tracks to promote healthy modes of transportation?,Health
u-zdVzwLe7RI-S2gX1wOJbQ,q-YgU9R4ZFLd-ycTtwYFdtq,IS it possible to bring more tourists into Boston by creating more seating areas around Downtown?,Access
u-I6P7NXj5fj-DccihwO4j3,q-lLVtvOa4JY-6sYbkQdsvP,When will the T have extended hours?,Reliability
u-kj5qaUBONs-veRdKHuZCI,q-POeiedxdJw-5uLkMLZJuv,Will drivers be more pleasant?,Safety
u-BGeHr6PrU1-s2lapX5WMY,q-QhwIbDCtEu-oVv22v1rXn,What if access to good public transport was the same whether we lived in rich or poor neighborhoods?,Equity
u-Qjt7ir1A9t-OsFPupifhj,q-E1nqYNJ7Ca-W8vQgeKRFj,When will we consider REAL raises tolls and taxes for drivers in the same way we constantly consider MBTA fare increases?,Equity
u-VhgmUHOran-PGheauH7gv,q-Ia9xYe6Dkc-BskX6lUoYI,Will there be an easy way to get from JP>Brighton>Cambridge?,Access
u-LsKantZg6s-jUZax9zSNA,q-e6vn2eWPdU-JJLvdCNMLk,How can we fully fund transit so residents of the City don't have to breathe the fumes from all the cars of commuters?,Health
u-X3uGBIoJHs-MTiI0UsjMo,q-zITsM38Naq-ZH8Dq8Z9jr,Will Boston transit systems ensure easy access?,Access
u-rjtvw0STqj-h3jrkkQqWL,q-jdYrM72mMv-qwmPACsHPu,What is the plan to update the T in the next 10 years?,Governance and Decision-Making
u-j1fIs4zLCO-TOyWk7OEkh,q-MyoSxCJIRi-0si8VUJQRi,I want to get to work faster.,Reliability
u-mtXC8MESaa-x5she16Zog,q-kOyP9bsvMr-ciCO84DZ1f,@GoBoston2030 Will we have MBTA subway cars that can run on time and year round? #goboston2030,Reliability
u-Rg0SfEAVPm-SvKZZQTVmS,q-YrPpFXRYuO-MXgYO1VKYq,When will East Boston have ferry service?,Access
u-YjIkM8WGBF-xO4F0wX6dc,q-XaLO6JGNx3-CK5O08SF0S,How do we safeguard today's road and sidewalk users while we envision and build the future network?,Safety
u-ZMC32KHuSH-wnk2hm7G4U,q-d5w8Dl2mZ0-v9jNABfrr7,What if transit ran 24/7?,Reliability
u-j1jQabt7Dp-QK1uc4D1Wl,q-j5VQOGMiva-JmmPvT6RRG,Why don't all the donors to the Olympics bid make matching donations to a 2030 fund for projects to improve the city in all way?,Governance and Decision-Making
u-xGg3COyL3G-bdebx7gxf9,q-S4ZKG7oT6r-TVdg1yj7dE,"Can they create more bus stations, and heaters/air conditioners at those stations and every T stop?",Experiential Quality
u-DA6sy7Tpwf-TwXf2B2Qac,q-Rdgy0oDEh4-E8K2mIBtkz,How are we addressing the impact of the rising sea level as well as climate change weather event on the Boston Downtown and Seaport District T lines?,Sustainability-Climate
u-o47uH7VklH-DfJbobektB,q-RTyXi4GrWO-juMkoz6JxN,Why can't there be separate paths for bicyclists and pedestrians?,Access
u-WRaH6imjzF-8uTg0OY4Tb,q-1rnvhVH6u6-vPwk3mRSob,Can we reactivate the red line (Braintree branch) stop near Pope's Hill?,Access
u-FbWEHQog3f-Kb4ZLUTXxg,q-G48iMWyWWl-1FsnVMtRy6,Will we have 24 hour buses and trains?,Reliability
u-5k3FblxsFt-oIE36oAJND,q-gUHdMEvJct-RzWLhrOwur,Will they have cars that don't need driving? Will they have flying shoes?,Innovation-Technology
u-wmmLyhUxXb-HiMqLetIyl,q-xw8A15tdwB-5ay2aedNTw,When will we expand hours for pedestrian zones (like Washington St / Downtown Crossing) to other streets / areas of the city?,Access
u-HAzhF2dyo4-ftzbqT9hUk,q-AKUFZzMO3I-wHLCNWaEJO,Will there be delivery services for different goods like cigarettes?,Miscellaneous
u-C7CTi2bx7z-N12rytGal6,q-TNLKi681hv-ZE6FL9ig6P,Why don't we have unified passes for Hubway and the T?,Innovation-Technology
u-JtDbWONYlq-PMFiVTHjFB,q-wEZdbKw42F-i4oxQYBcM6,MT @liserbether: What if every traffic signal was prioritized to allow... bicyclists to cruise thru at... 10mph? #goboston2030 @GoBoston2030,Access
u-FMoz5dEMJe-XOVf8Lnk5O,q-DiOuxbGAKK-5vxRhyE2WF,Why are you engaging in Olympics boosterism when you know that money for Olympics cost overruns will come at the expense of things like transit improvements?,Governance and Decision-Making
u-4svmGwzy2V-4xlBGcPoOf,q-7RMPF27i4n-6y3jtpFrSz,When will we limit the number of cars in Boston?,Sustainability-Climate
u-4A6Ug4dIXo-EnDiqAwWNt,q-UTOZKDeFd9-hltYPCnf2X,Why doesn't Boston have a better plan for snow removal?,Experiential Quality
u-wYhSce53CU-4jwRI63qtA,q-9gcksaADSb-16Z9zWoGf7,Will North Station and South Station ever be connected?,Access
u-hSGCsTBBcO-JJ8vBUQmZ8,q-HRYekWGUzk-Mqah2152RC,Why are there no seat belts?,Safety
u-VcXD69gPab-HKSNpzUwVv,q-4fB0sl4Ed5-V8oR85tEvi,"In light of the recent blizzard- I don't know what the solution is to this exactly, but there isn't anywhere for many residents to shovel it to. It needs to be actually removed from the street entirely at some point, instead of just being piled up on the curb to ice over and block parking spots until spring.  ",Experiential Quality
u-3PLdYJQJnO-zfUAAI2rVp,q-tRxYGP36FO-zFejx7bHQC,When can we make better stoplights?,Reliability
u-lbUTwmQnnO-tbkoHpLwWU,q-GqQ9XzaUur-qH6CGkQlLj,Why is there only one bus line that runs from Ashmont to Mattapan station and multiple buses to Roxbury/Ruggles?,Equity
u-3dbZpZFo9Q-owbN7X57wQ,q-yHFVBNCEbd-6M1vNcVaqE,Will there be any type of air transportation?,Innovation-Technology
u-IG2E1ch4yB-GdbLss6h9T,q-8looXaYFbf-xBBKwwdpU8,How will the City guarantee that transportation development does not contribute to gentrification & displacement?,Equity
u-SvNqah8sMj-IVP1fX5fvk,q-cGAPqb7VhP-rqOJTdbi1A,How much safer would the streets be if people put down their phones while driving?,Safety
u-VU8tH4sls3-zt7vtLxRmU,q-Ndfp4LOuV6-IPX5IvesPI,Will we be able to get around without seeing advertising on every public fixture and piece of street furniture? Can we pay for our infrastructure without corporate money/advertising?,Affordability
u-opA7DS0p0l-I6rZuGxoxg,q-7bySKbInYp-lfHWFNMwnw,How might Boston better connect with the suburbs near the 495 belt at all hours of the day/night?,Access
u-DS0lqtpqxL-Wz65YNCYJe,q-yk2Grzzc7W-O7EtDDeeLd,When will snow banks on sidewalks automatically melt?,Innovation-Technology
u-dsW12O6b6V-otOReNrzfQ,q-v7rWk2o4y2-Ye8bjUt7h4,Is there a way to install sensors or the like at cross walks? That way when people press the walk signal and cross the street anyway people don't have to sit in the cars at a red light for no reason.,Innovation-Technology
u-FtiFwzDi5K-lFxmPe3UBB,q-GaD8sYSUbx-sOUY07OcRz,Will there be flying and faster transportation?,Reliability
u-Nbw7OdOhdZ-6yXXmXf77Q,q-eyoYz8UqVk-BG8s1W0YsP,"What can be done to address the afternoon backups on the 93 North on ramp at Seaport Blvd that results in the huge backups into the Seaport District and South Boston along Seport Blvd, Atlantic Ave, Congress St and Summer St.?",Reliability
u-0xtDmwZQzN-QJcBmXqfLF,q-y5rcdzjrI5-TrHqjaK2Gm,"Will the MBTA bus, specifically the 66 and 45 ever be bigger to accommodate more passengers?",Experiential Quality
u-s8yMTCmzY6-96rdpXAVnP,q-Nbi6ETKOlM-1On1JTaEgn,Why do we need to pay a lot of money for transportation?,Affordability
u-RIHWhvDY5a-wUOQUj7mCm,q-EErLIW9WOY-JQUBQnfSzR,Will there be free parking in parking garages for the handicapped?,Affordability
u-H1XOGtSs4j-GJZuXQsULV,q-XPqR7oV4m9-taVA4tkfeS,"In the future, will Boston still be using some old technology?",Innovation-Technology
u-PX5Kt9iWur-V4jn6RcnEb,q-Mhj9FkJSoG-7Q1YkkXXPJ,When will we get a tunnel under Longwood Ave with a station?,Access
u-9WQZ0aiayj-8K6WcUGtS3,q-vtDBbg7RsN-1dI6YG3IMt,Will the MBTA be able to improve accomodations for the disabled to access transit?,Access
u-RfEG4lhE2P-G5aXZtCFyr,q-a0qmN0P2Vh-9gb1rP80jm,What improvements will be made to the T in advance of the Olympics?,Governance and Decision-Making
u-e5KVI27qSe-IuKG3WEy3t,q-BDM5zXMsp4-1cgYCIwSqp,How should we deal with population growth and road infrastructure?,Resiliency
u-Jc8Q3ZpC6M-LQ32ln1Mhk,q-7yGDFkq4MZ-XmC6NTfUJx,How will transportation facilitate meaningful conversation and build a sense of community?,Experiential Quality
u-iYHtlwpT6A-C9lOF4iBY0,q-Xi9unI3XJb-oL1AmR9HE2,"How will you improve the safety, reliability, reach, comfort and aesthetics (in order of priority) of our public transportation while keeping in mind it's impact on Boston's historic neighborhoods? Or is it time to do like Haussmann did in Paris, and envision a radically new city? Can we do both?",Access
u-H2ZgtIjaY8-ahBm0d9ln7,q-GZMxk5Om17-qHpCGhIl5p,Will public transportation create a system for seniors only?,Equity
u-gHrIieH825-J52ah5MHPX,q-3MOeeDzgTi-QIai1ZoXJI,Will there be more accessible transportation for Hyde Park for residents who work/go to school in Downtown Boston?,Access
u-sNw5kCKh4E-sEb50xrQQF,q-p2BOjEi3QN-nM6Qyww5do,Can we have enough buses so that no one is ever turned away because the bus is full? What informations is needed to determine this?,Reliability
u-jl99twnLqR-5KEbfU0Uh9,q-pbeCjQXCaE-lu5xPsP1Tb,How can we prevent breakdowns like the ones this week in the future ?,Resiliency
u-dio158MRsg-m4yKyrj6qY,q-ZkEnPwgZBG-9tHVoyIrAS,How will buses change?  Will there be a way to use apps where the bus driver themselves can check in at stops so you get an accurate time for arrival?,Innovation-Technology
u-DfOBqntrI2-Aw8NWq6bo9,q-Yn3upRtucW-Gk3X1L7Ri2,"The buses need more accurate times, will this happen in the future?",Reliability
u-6h1gQYObI5-c0IzG0Z9y1,q-AfAABLt4ne-hKnywFmAIT,"When, and most importantly how, will we begin truly working towards a sustainable and resilient transportation future through the prioritization of public transit and biking over automobiles?",Sustainability-Climate
u-2LYhcm4fBZ-BDUVBl6idK,q-I1pjwvEaBn-ijAhy04vpn,How about more rails in more colors?  How about a yellow line?,Access
u-nBuyZuSbXm-8OflzDQgRt,q-4MxxIjBekO-HKWLiBIues,What will late night weekend travel look like?,Experiential Quality
u-yx8FJYUnvW-opJPjU0vZz,q-xyf4b6jpKc-vPsyxF5y1a,Why do handicapped people have to get out of their seat for people with baby carriages?,Access
u-t9rjb4NGvD-QCLbbz6Y4n,q-hmFwoApgXZ-2x1eiG8Fda,What will the city of Boston do to make it possible to plug in my car?,Sustainability-Climate
u-Vcr0kcGsvq-JoG0sJldRy,q-etHyDTkO4H-uvs9NF8jjJ,How will they make the roads more bike-friendly?,Access
u-xBokNhNiOL-iD5kbg9JKq,q-1CqSuyjzxB-gqoEKlZQ6l,How about more bike-only roads (sidewalks for pedestrians) and no-fee bike rentals (using a card or something so people don't steal them...)? AND how about FREE public transportation??,Affordability
u-Qjt7ir1A9t-OsFPupifhj,q-a5ySmNCLAK-33seBvRGHp,When will we design roads with narrower travel lanes that make travel safer for all users?,Safety
u-TYH8iykJFR-7bPNZAHrhP,q-XvVrHjNZMp-RVcYIHM9Zn,Offer more parking for Enterprise Car Share and Zip Car!,Sustainability-Climate
u-xoSybsUgrd-YwMfe21PTv,q-3WHtlkz3yH-upN9kU6yrR,"How can we make daily, two-way use of the MBTA affordable for someone working 40 hours per week at minimum wage?",Affordability
u-LclNswH23H-Y9Lql06HfD,q-xiMmsJ68e4-0ueiBoULjo,"Why don't we put bike lanes inside the line of parked cars, instead of outside? Why don't the parked cars protect the cyclists instead of the cyclists protecting the parked cars? Let's get serious about bike safety.",Safety
u-dnosXhssMi-P0IrTsgUZr,q-VouurWMtP7-5VzMEnCStS,"What will we do as a community to ensure that there is equity in our transportation system and that all people have access to the transportation they need to be productive, engaged, and active?",Equity
u-xGg3COyL3G-bdebx7gxf9,q-k6ZM0ObEnw-bsgJr1pQsc,Are we blaming the mayor for this debacle?,Governance and Decision-Making
u-8YmTgnut4d-AgQ62ih5rO,q-f3xRNUd7Vo-TVTogD02nI,"How much does it cost for the city to maintain a residential parking space? ...signage, towing/tickets/enforcement, snow clearing, street sweeping...",Governance and Decision-Making
u-UivOJnlQk7-oAMICCavWu,q-8hjeV57AJJ-brUelaxs7d,How can we get real bus rapid transit on our streets to make biking safer?,Access
u-T17W5GKoeX-8tfglKDA87,q-tp8JyjDPzh-jT9N3oD8Tn,How can we make public transit greener?,Sustainability-Climate
u-WPaoH0ymC4-MXdmpGFQKh,q-aRW250dIyV-DHlxf0d2zg,"How will the city and MBTA better engage residents (especially young people, immigrants, and working-class people) in making transportation decisions? How will you increase transparency and democracy within planning and development? Poorly-advertised, infrequent public ""hearings"" aren't enough!",Equity
u-oNqny9qgrc-kQ8M7m7Tqo,q-xC6QcKvqOs-R60hjRjBar,Is there a better way to let people know what commuter rail train is entering Ruggles station?  Currently passengers have to ask a conductor what train they are boarding which can be difficult at crowded times.,Innovation-Technology
u-DOXFlMFgZ1-KR82oPda2E,q-4W541qP9iB-zzDrvheYO9,"Will police do their job and help manage traffic in all the neighborhoods and not a select few, especially during times after snow storms?",Governance and Decision-Making
u-kUVAKBHoaz-gWp55kAtIa,q-QRdnPjdelD-EHH0yG8UNV,Can the city plow bycicle lanes after snow?,Experiential Quality
u-VOI7ONFxJq-dSRoNbde0P,q-jjlwY0vZqW-oAnnZRlK45,What if it took just 5 minutes to get from Allston to Back Bay? which it does by car.,Access
u-H96PxDcLRp-83Ka66gmZv,q-dcr6lXuuF1-njufTtv7Jc,Can we use all the foot traffic at T stations to generate energy? The idea is in testing in Europe www.pavegen.com,Innovation-Technology
u-dvqfzarXOw-uXJIFi3Lbg,q-mh6eNQaqoK-wvzCzyc2Ra,Will there be bullet trains in 2030?,Innovation-Technology
u-YDgrogFqBh-jFWxLvr5S0,q-8RevhbU29R-d6iuXbIrw3,What if we could GROW our next piece of transportation infrastructure?,Sustainability-Climate
u-JCSyqOs5vp-oaSzy9Ksx9,q-kK8WM67KBV-sSuvRotR7Z,Can we get better transportation to grocery stores and hospitals from the North End?,Access
u-ABH0LGCbG7-PSAXRqXeJ0,q-EnmPHYGZkl-6o2i3IdIT6,would there be indoor bus stops?,Experiential Quality
u-I049CovN1Z-yUEXx0szJs,q-LLDMuCP4Mp-pfxQQeLX0L,Are transportation companies making vehicles that float in water?,Innovation-Technology
u-gsPxYK95PT-PyvBEc3IH1,q-KmmBswOAG4-Qze55jEuZP,How do we make buses safer for the drivers?  More police to ride buses on bad routes.  Better lighting at bus stops.,Safety
u-MY18QljyBw-NAzwM3VDw6,q-qPuf3yaGRw-7D70fK8ry9,"What if we had bus rapid transit that was implemented correctly? Could priority signaling, dedicated bus lanes, and off-board fare payment save time and make for more efficient transit?",Reliability
